Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,109.5777783,1.336597042,11.15134819,3.72143913,1.374547826,1.322804348,681.8543478,6.507091304,24.36486957,6.715034783,0.900717533,67.01896957,3.865391304,112.9934783,1190.517391,0.301113043,4.076804348,35.61560435,17.62326087,1.485999764,8.48626087,0.3845,3.404347826,46.68326087,3.865678261,3.64,70.30918696,3.75,1.374547826,15.41101739,8.361965217,0.98303913,35.23643478,6.566456522,3.6725,0.703410157,32.12452174,3140.281304,0.376,7.836895652,275.893913,125.6008696,13032.13043,26879.71739,327.583913,1.9324,107.1782609,104.1794565,144.0031522,2.029500435,2016,11
6,1,110.1391727,1.352015666,10.96458184,3.441390909,1.3564,1.289504545,680.5631818,6.593459091,24.1095,6.623795455,0.890645794,67.29686364,3.856636364,105.4918182,1171.372727,0.301336364,4.085636364,35.41583182,18.66283182,1.424131293,8.308018182,0.3845,3.318136364,46.46345455,3.915068182,3.64,65.11325455,3.75,1.355522727,15.07876364,8.296345455,0.970077273,35.30445455,6.641236364,3.6725,0.704277439,30.73722727,2997.099545,0.376,9.807236364,279.3586364,124.0286364,13355.04545,28971.5,335.8863636,1.9324,107.6518182,104.6939318,145.2835727,2.157772727,2016,24.09090909
9,1,109.2909095,1.316858728,10.59454667,3.255590476,1.358904762,1.310866667,668.4385714,6.672538095,24.09528571,6.641133333,0.891693546,66.7455381,3.765619048,101.9366667,1107.452381,0.301433333,4.109047619,35.33480952,19.22542381,1.368227357,8.198933333,0.3845,3.380857143,47.43819048,3.853647619,3.64,64.45888571,3.75,1.358904762,14.03897381,8.535961905,0.973833333,34.73890476,6.716147619,3.6725,0.761105908,28.7297619,2919.411429,0.376,9.975,275.3419048,114.7742857,13117.71429,28037.47619,338.2304762,1.9324,106.6380952,104.7653619,145.2669714,2.238314286,2016,37.33333333
12,1,110.867219,1.360122023,10.7303929,3.362157143,1.435633333,1.333914286,666.5904762,6.921971429,25.66119048,7.054238095,0.948636469,67.88452381,3.828714286,115.9780952,1181.295238,0.305561905,4.459690476,35.9464381,20.50774762,1.420425811,8.561971429,0.3845,3.394380952,49.81238095,4.203319048,3.64,61.99776667,3.75,1.435633333,13.85437143,9.212304762,1.019585714,35.78614286,6.75397619,3.6725,0.80087448,28.78690476,3008.57619,0.376,9.975,294.3461905,112.527619,13423.09524,28210.95238,315.787619,1.9324,108.0538095,105.0659857,149.2775619,2.33506381,2016,50.19047619
