Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,74.46810455,0.948584701,7.238794728,1.790177273,1.258445455,0.993854545,485.3954545,6.308136364,18.69277273,5.632709091,0.75755294,50.36090909,3.767272727,82.48454545,1126.159091,0.278193182,3.044336364,29.01247273,12.75385,1.218469935,5.705386364,0.3845,2.670363636,42.85809091,3.133981818,3.64,29.36633182,3.75,1.258445455,7.611011364,6.7298,0.913572727,30.70190455,6.406113636,3.6725,0.632253224,19.52754545,1766.100455,0.376,4.2893,224.3586364,126.3163636,9343.090909,16507.63636,149.4840909,1.9324,80.35318182,90.85563182,125.5957955,1.538015455,2012,11.27272727
6,1,77.78059524,1.002232722,7.772854531,2.047771429,1.278290476,1.028071429,505.6280952,6.317133333,20.47014286,5.933614286,0.798361881,56.03,3.892761905,79.32142857,1166.280952,0.280069048,3.178966667,30.41612857,13.92385238,1.28447941,6.019871429,0.3845,2.670809524,42.79838095,3.435314286,3.64,32.87684762,3.75,1.278290476,8.388947619,7.078566667,0.958338095,31.66452381,6.402552381,3.6725,0.643504265,21.68833333,1789.642381,0.376,4.479290476,234.3866667,127.5257143,9451.142857,16266.14286,148.8538095,1.9324,89.62238095,94.2754381,131.7764952,1.652838571,2012,24.38095238
9,1,79.38022632,0.961490042,7.661288011,2.028473684,1.230963158,0.9784,474.3763158,6.339410526,19.22063158,5.792231579,0.777061354,54.54264737,3.946947368,78.14,1124.205263,0.281597368,3.078952632,30.27193158,12.93262632,1.222412973,5.749363158,0.3845,2.602052632,41.72636842,3.211194737,3.64,31.41509474,3.75,1.230963158,8.27405,6.610610526,0.939568421,30.98642105,6.406794737,3.6725,0.620439485,21.20147368,1801.727895,0.376,4.2893,220.7068421,122.8642105,9565.368421,15123.89474,149.7815789,1.9324,87.34315789,94.64702105,131.7578,1.601150526,2012,37.57894737
12,1,78.18232222,0.954623502,7.850434614,2.083405556,1.220905556,0.989472222,477.2105556,6.29005,19.23072222,5.688916667,0.762554364,54.61626667,3.7825,83.57777778,1077.161111,0.281222222,3.055316667,30.6639,12.85429444,1.200565063,5.601216667,0.3845,2.566222222,41.00672222,3.1254,3.64,30.75771111,3.75,1.220944444,8.640336111,6.609877778,0.922311111,30.64033333,6.418411111,3.6725,0.619234093,19.31122222,1796.650556,0.376,4.2893,217.8866667,126.31,9645.888889,17034.27778,150.4394444,1.9324,87.31444444,97.84100556,128.6527278,1.562783333,2012,50.33333333
