Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,118.9611952,1.412295063,10.69923992,3.839857143,1.354047619,1.336733333,667.4480952,6.711614286,22.7157619,6.602638095,0.884778107,69.52020476,3.617619048,111.2247619,1130.342857,0.303566667,4.079047619,34.50757619,19.24630476,1.463779444,8.59842381,0.3845,3.303142857,52.41342857,3.801471429,3.64,65.09583333,3.75,1.354047619,14.39294048,9.285590476,1.000628571,31.72852381,6.758733333,3.6725,0.759314887,33.23842857,3123.29381,0,0,0,0,0,0,0,0,0,0,0,0,2019,11.38095238
6,1,119.10076,1.440276845,10.79131659,3.8589,1.363235,1.329205,692.409,6.902005,22.66805,6.613165,0.885500468,69.43151,3.5973,108.057,1175.91,0.3034975,4.163225,35.508615,19.27447,1.516924442,8.632465,0.3845,3.3236,51.8272,3.77941,3.64,64.12567,3.75,1.363235,14.5791325,9.414005,0.989245,31.15655,6.75269,3.6725,0.788848862,35.2464,3258.8335,0,0,0,0,0,0,0,0,0,0,0,0,2019,24.5
9,1,120.1159,1.46806095,10.93775493,4.11907,1.379735,1.32405,717.0595,7.114315,23.50055,6.7819,0.908639556,71.34641,3.52195,107.544,1196.38,0.3037925,4.184,36.23773,19.548565,1.576335354,9.01132,0.3845,3.35355,52.104,3.953445,3.64,64.859565,3.75,1.379735,14.82213,9.71112,0.99067,30.5682,6.75749,3.6725,0.809046016,36.6781,3398.2385,0,0,0,0,0,0,0,0,0,0,0,0,2019,37.7
12,1,119.6697111,1.458248874,10.76885315,4.120194444,1.358638889,1.318833333,772.7177778,7.022411111,22.973,6.730394444,0.900726729,71.17943889,3.477722222,109.1566667,1178.461111,0.303341667,4.153916667,36.60869444,19.1455,1.522392812,9.064883333,0.3845,3.359666667,50.76116667,3.848611111,3.64,63.13858889,3.75,1.358488889,14.48110833,9.448466667,0.984586111,30.24666667,6.75255,3.6725,0.762081616,37.63916667,3397.494444,0,0,0,0,0,0,0,0,0,0,0,0,2019,50.33333333
