Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,121.3242682,1.608656112,11.52515626,4.883218182,1.416163636,1.39525,839.3754545,7.018072727,24.04286364,6.754527273,0.904183734,74.41690909,3.601045455,107.3636364,1220.086364,0.306815909,4.296363636,38.36051818,22.35796364,1.655762723,10.22015909,0.3845,3.485863636,50.91331818,4.013613636,3.64,73.80235909,3.75,1.416577273,16.61140909,9.806822727,0.957472727,32.10777273,6.759209091,3.6725,0.8090257,43.343,3882.912273,0,0,0,0,0,0,0,0,0,0,0,0,2020,11.72727273
6,1,128.7389818,1.450893393,11.70719174,5.183277273,1.394427273,1.355195455,794.6059091,7.084672727,23.70645455,6.625477273,0.888553354,75.75465,3.458318182,107.555,1210.009091,0.307720455,4.275068182,40.11341818,22.29799545,1.554139971,9.540063636,0.3845,3.469,50.09072727,3.94405,3.64,69.24988636,3.75,1.394159091,17.13028636,9.30655,0.951854545,31.17522727,6.75545,3.6725,0.798678403,42.56763636,3698.895,0,0,0,0,0,0,0,0,0,0,0,0,2020,24.72727273
9,1,128.821925,1.382646855,11.52895744,5.404615,1.365625,1.323385,772.776,6.809035,22.71065,6.313305,0.848345335,73.49886,3.4245,105.6035,1177.53,0.3058575,4.150125,39.879685,21.65848,1.499826247,9.16213,0.3845,3.5529,48.5003,3.79616,3.64,76.01116,3.75,1.365625,16.720965,8.846285,0.914585,31.35645,6.74927,3.6725,0.772012356,42.49675,3757.0505,0,0,0,0,0,0,0,0,0,0,0,0,2020,38.05
12,1,130.6732167,1.341077333,10.9180127,5.067566667,1.335111111,1.282661111,741.0277778,6.568783333,21.73222222,6.156944444,0.827143206,73.52935,3.268722222,104.1794444,1097.877778,0.304136111,4.061,39.65375556,19.90718333,1.4186035,8.7472,0.3845,3.578166667,48.21222222,3.682711111,3.64,73.49493333,3.75,1.335111111,15.04735556,8.457761111,0.894008333,30.09116667,6.760927778,3.6725,0.748517145,42.15488889,3456.325,0,0,0,0,0,0,0,0,0,0,0,0,2020,47.66666667
