Week,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Month
1,1,119.2529667,1.438294109,11.32895005,4.034133333,1.348566667,1.3013,825.7066667,6.976033333,22.73733333,6.685166667,0.894750935,71.4609,3.460666667,110.8166667,1158.533333,0.302683333,4.099833333,38.9073,18.8739,1.484052325,8.803833333,0.3845,3.307666667,50.73066667,3.808,3.64,69.54076667,3.75,1.348566667,14.1331,9.353633333,0.955166667,30.13066667,6.7672,3.6725,0.761880853,37.279,3276.676667,0,0,0,0,0,0,0,0,0,0,0,0,2020,4.666666667
52,1,132.3323,1.322810979,10.8264362,5.1589,1.334333333,1.2871,727.8366667,6.5444,21.58666667,6.1016,0.820171082,73.78363333,3.235666667,103.48,1101.9,0.30365,4.0415,39.59356667,20.08806667,1.413918499,8.712833333,0.3845,3.603,48.06766667,3.6974,3.64,75.15966667,3.75,1.334333333,14.68263333,8.307233333,0.887833333,30.129,6.745433333,3.6725,0.748166772,42.25166667,3435.856667,0,0,0,0,0,0,0,0,0,0,0,0,2020,12
