Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,78.74108571,0.967591123,8.215597825,1.98312381,1.246428571,1.024161905,472.5728571,6.274552381,19.80790476,5.756009524,0.771875504,54.39504762,3.688238095,94.78571429,1101.604762,0.284419048,3.107538095,30.95451905,12.50417143,1.207679484,5.774966667,0.3845,2.592380952,40.73719048,3.205914286,3.64,30.81578095,3.75,1.246428571,9.191309524,6.439595238,0.946290476,29.52204762,6.41037619,3.6725,0.663337589,18.97314286,1812.635714,0.376,6.2842,233.3752381,124.122381,10054.38095,16042.90476,161.4,1.9324,87.60047619,98.4495619,127.9623476,1.639858571,2013,11.38095238
6,1,78.80454,1.060063579,8.583474925,2.16877,1.260525,1.031305,502.886,6.170305,19.5322,5.65446,0.758285538,58.398845,3.62995,97.429,1134.54,0.2843275,3.148875,30.857535,12.959355,1.263372678,5.869025,0.3845,2.74825,42.8776,3.24616,3.64,32.336655,3.75,1.260595,10.0123425,6.57223,0.93414,30.839,6.41429,3.6725,0.646132025,20.6611,1907.016,0.376,6.2842,224.2345,122.663,9978.6,16587.9,151.44,1.9324,93.134,98.67882,127.8065,1.63064,2013,24.5
9,1,81.645545,1.076225718,8.543020838,2.272535,1.26272,1.03424,504.1135,6.15792,19.3144,5.584975,0.748869918,63.7571,3.56825,99.312,1085.465,0.2837325,3.250625,30.78673,13.063255,1.228627689,5.9688,0.3845,2.7771,43.7934,3.171555,3.64,32.563255,3.75,1.263,9.96823,6.495265,0.92398,31.69405,6.424535,3.6725,0.630197421,22.1127,1918.5955,0.376,6.2842,225.5025,121.083,11367.45,26202.45,153.2935,1.9324,102.225,105.470475,132.337715,1.6615015,2013,37.7
12,1,78.73283158,1.111977545,8.69496156,2.345847368,1.258015789,1.063915789,530.0989474,6.117757895,20.10557895,5.447978947,0.730279938,61.90464737,3.508684211,103.3678947,1057.063158,0.282389474,3.246305263,30.18835263,12.99681579,1.214917723,6.138063158,0.3845,2.784578947,44.11789474,3.052926316,3.64,32.90054211,3.75,1.258015789,10.37122632,6.544294737,0.894036842,32.31394737,6.4272,3.6725,0.610918559,21.33678947,1936.5,0.376,6.2842,225.4010526,118.7915789,11965.21053,26756,155.5021053,1.9324,99.06894737,106.8596632,130.8561684,1.683730526,2013,50.42105263
