Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,109.8729783,1.312449778,10.34667256,3.124682609,1.405508696,1.338482609,660.7956522,6.897234783,25.28865217,6.958904348,0.936016427,65.89978261,3.651304348,113.0334783,1135.108696,0.305134783,4.439282609,35.42806957,19.2898087,1.426816657,8.507304348,0.3845,3.263478261,50.27743478,4.015278261,3.64,57.9385,3.75,1.405508696,12.9368413,8.919108696,1.002186957,34.90152174,6.745713043,3.6725,0.810867846,28.40252174,2941.680435,0.376,8.665243478,284.256087,110.2213043,13011.78261,25223.06522,279.46,1.9324,104.6282609,103.6808174,150.4088348,2.21040913,2017,11.17391304
6,1,108.4300045,1.323250959,10.21470102,3.2913,1.383990909,1.329804545,665.1009091,6.807995455,23.38895455,6.624409091,0.890555161,64.44878636,3.531863636,110.9059091,1129.622727,0.303334091,4.277204545,34.70239545,18.13261364,1.38545535,8.460590909,0.3845,3.264727273,49.85790909,3.747272727,3.64,57.97533182,3.75,1.383990909,12.89724545,8.686586364,0.968677273,33.99922727,6.749481818,3.6725,0.781178429,28.36240909,2961.678636,0.376,9.716559091,272.1036364,102.5413636,12349.22727,27049.86364,318.8727273,1.9324,103.1022727,102.9595091,150.3971,2.278113636,2017,24.27272727
9,1,111.786725,1.25441463,10.15158863,3.132145,1.349785,1.22809,625.7805,6.568445,21.88485,6.244745,0.839314478,64.460655,3.5313,110.696,1132.035,0.3015,4.2115,33.25525,17.83402,1.379304268,7.830105,0.3845,3.24535,50.99685,3.5842,3.64,57.702805,3.75,1.349785,13.1660475,8.000755,0.962725,33.1494,6.75741,3.6725,0.750465899,28.8874,2917.6125,0.376,9.975,258.848,106.372,12914.95,28191,329.8965,1.9324,101.8575,104.678675,150.549165,2.35794,2017,37.45
12,1,115.25606,1.308784049,10.15869981,3.28899,1.346685,1.27696,637.7685,6.59355,21.67115,6.288355,0.844827116,64.251865,3.50345,112.9495,1085.775,0.301905,4.078425,33.721255,19.17086,1.437807041,8.31638,0.3845,3.2435,50.3847,3.5513,3.64,58.592225,3.75,1.346685,13.1487425,8.397915,0.98747,32.6607,6.76305,3.6725,0.746039287,28.84675,2991.581,0.376,9.79046,262.6745,105.902,13137.35,28646.7,317.107,1.9324,102.868,108.130705,149.90574,2.392249,2017,50.3
