Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,96.53279545,1.293642603,9.908238253,3.124486364,1.3769,1.261913636,628.4504545,6.150636364,25.26890909,6.885113636,0.923021544,62.43855,3.997545455,120.3868182,1112.568182,0.298830909,3.680877273,35.40517727,15.24019545,1.338456495,7.978790909,0.3845,3.090636364,44.44572727,3.812013636,3.64,60.22298182,3.75,1.3769,12.06817955,8.530063636,0.979522727,32.61877273,6.34915,3.6725,0.667745389,25.26295455,2587.796818,0.376,6.2842,280.1559091,136.8240909,13066.81818,27738.45455,185.2122727,1.9324,99.74954545,101.4156455,132.7942591,1.947562727,2015,11.72727273
6,1,98.55113636,1.294995101,9.93360823,3.115504545,1.345754545,1.236604545,630.0772727,6.115877273,24.35577273,6.650931818,0.891870429,63.86073636,3.824454545,123.7504545,1112.195455,0.302109091,3.739086364,35.09314091,15.48303636,1.429523437,7.808186364,0.3845,3.160454545,44.98236364,3.712281818,3.64,54.51593636,3.75,1.345790909,12.30522045,8.267218182,0.9322,33.731,6.340772727,3.6725,0.643011856,26.78881818,2557.257727,0.376,6.451963636,278.3681818,132.5763636,13330.59091,27053.27273,186.0454545,1.9324,102.1522727,101.9747409,134.4412591,1.940781364,2015,24.72727273
9,1,106.0600762,1.416601805,10.45500314,3.89092381,1.4145,1.326695238,691.0395238,6.368961905,24.13490476,6.647142857,0.890922618,66.20052381,3.910190476,120.2157143,1185.128571,0.302064286,4.312714286,35.33701429,16.84745714,1.578573192,8.294195238,0.3845,3.21552381,46.75047619,3.752057143,3.64,66.65516667,3.75,1.415185714,13.61547619,8.363071429,0.972066667,36.0247619,6.340190476,3.6725,0.651214731,28.787,3072.764286,0.376,6.2842,278.517619,128.0866667,14156.09524,28775.90476,260.75,1.9324,105.9942857,103.7731667,138.9288095,1.960517143,2015,37.95238095
12,1,104.934828,1.361218143,10.85558609,3.72506,1.398256,1.3459,692.6836,6.412852,24.60412,6.770468,0.907752941,66.21772,3.88464,121.6732,1163.444,0.30233,4.18818,35.547028,16.786132,1.459869594,8.549224,0.3845,3.33268,46.91428,3.895472,3.64,68.33246,3.75,1.398256,14.584182,8.415744,0.994964,35.63864,6.401564,3.6725,0.664323216,29.05616,3142.0448,0.376,6.2842,282.4444,129.4404,13472.36,30177.12,281.0848,1.9324,105.9448,103.756088,140.986084,1.9888604,2015,44.96
