Week,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Month
1.0,1.0,87.90556666666667,1.2260604286666668,9.520800470333333,2.6719000000000004,1.3230666666666666,1.1610666666666667,607.6366666666667,6.120633333333333,22.786333333333335,6.114333333333334,0.8219658476666667,63.578399999999995,3.9086666666666665,120.53333333333335,1098.9666666666667,0.29283333333333333,3.497833333333334,31.687700000000003,14.7292,1.2835511463333333,7.428966666666667,0.3845,2.986333333333333,44.617,3.526666666666667,3.64,56.39203333333334,3.75,1.3230666666666666,11.607433333333333,7.808633333333333,0.9881666666666667,32.95466666666667,6.376866666666667,3.6725,0.642552373,24.209666666666664,2376.4933333333333,0.37600000000000006,6.284200000000001,258.88,126.94666666666667,12436.666666666666,27128.333333333332,182.35,1.9324000000000001,101.66333333333334,100.81266666666666,131.0651,1.86141,2015.0,12.0
2.0,1.0,88.08558000000001,1.2343710086,9.6062186976,2.6957,1.3358599999999998,1.18222,614.632,6.12742,23.4822,6.2802,0.8440302114,63.11712,3.9652000000000003,119.56400000000001,1102.6799999999998,0.29376,3.55796,31.93076,14.75924,1.2911200552,7.6848,0.3845,2.9844,44.95739999999999,3.6211800000000003,3.6399999999999997,56.2376,3.75,1.3358599999999998,11.678120000000002,7.9584,1.0145199999999999,32.9246,6.356959999999999,3.6725000000000003,0.6598167979999999,24.2522,2417.528,0.376,6.2842,268.65200000000004,129.926,12670.0,28278.4,183.01000000000002,1.9324,103.232,100.85672,133.74366,1.885018,2015.0,1.0
3.0,1.0,87.91358,1.22084377,9.540221082799999,2.63974,1.33202,1.1950800000000001,619.426,6.12028,23.9624,6.33996,0.8524516426,62.01354,3.9305999999999996,117.88199999999999,1084.1399999999999,0.29391,3.5723,32.14658,14.5929,1.2852937618,7.67324,0.3845,2.9924,44.8612,3.6551400000000003,3.6399999999999997,64.73692,3.75,1.33202,11.50936,8.07404,0.9618,32.7844,6.3664000000000005,3.6725000000000003,0.658661229,24.707,2418.2940000000003,0.376,6.2842,272.348,130.88400000000001,12593.2,24312.2,183.55,1.9324,98.874,100.72992,133.65457999999998,1.850676,2015.0,1.0
4.0,1.0,89.15232499999999,1.2330025345,9.58317983875,2.6052999999999997,1.3366,1.230825,627.6775,6.127075,24.25625,6.47255,0.86999297175,61.662825,3.93975,118.075,1084.075,0.29395,3.606875,32.399575,14.65215,1.312417046,7.64725,0.3845,3.00675,44.554249999999996,3.734625,3.64,64.83375000000001,3.75,1.3366,11.523724999999999,8.176825000000001,0.8668,32.64275,6.3416,3.6725,0.6621600425,24.4845,2372.41,0.376,6.2842,274.0325,132.6125,12527.75,28648.5,184.025,1.9324,98.69749999999999,100.77605,131.799675,1.914675,2015.0,1.0
5.0,1.0,92.43812,1.2637441984,9.6209836126,2.5877600000000003,1.34908,1.2525400000000002,624.868,6.1347,24.602600000000002,6.58698,0.8847439086,61.526120000000006,3.9576000000000002,117.97200000000001,1083.84,0.29495,3.6197000000000004,32.7128,14.73872,1.3550319482,7.785500000000001,0.3845,3.0328,44.1258,3.7369399999999997,3.6399999999999997,67.6438,3.75,1.34908,11.57054,8.26318,0.9068400000000001,32.6188,6.3403599999999996,3.6725000000000003,0.6622533577999999,24.329,2382.732,0.376,6.2842,275.578,133.696,12529.6,28476.2,184.45,1.9324,98.408,101.01487999999999,134.49642,1.939304,2015.0,1.0
6.0,1.0,93.08828,1.2871797917999999,9.544026716,2.7022,1.3493,1.25058,628.616,6.133979999999999,24.336000000000002,6.53152,0.8773800158,61.782799999999995,3.901,117.45,1094.76,0.29491,3.5860999999999996,32.67696,14.84068,1.36516219,7.58048,0.3845,3.0598,44.1102,3.6635599999999995,3.6399999999999997,67.50764000000001,3.75,1.34894,11.42877,8.26112,0.9270999999999999,32.580799999999996,6.33776,3.6725000000000003,0.6590859646,24.3686,2397.91,0.376,6.2842,271.188,131.878,12643.6,28481.6,184.63,1.9324,98.824,99.05796000000001,130.88,1.9279519999999999,2015.0,2.0
7.0,1.0,94.05395999999999,1.2891671305999999,9.675047892,2.8158000000000003,1.35596,1.25044,626.1659999999999,6.13084,24.464599999999997,6.57672,0.8834790392,62.1648,3.879,119.03399999999999,1096.1,0.2955,3.5883000000000003,32.95552,14.92388,1.3530159852,7.6295,0.3845,3.0768,44.316199999999995,3.69206,3.6399999999999997,65.69454,3.75,1.35596,11.713809999999999,8.38006,0.9276199999999999,32.6306,6.33872,3.6725000000000003,0.6540260172,24.6686,2390.9,0.376,6.2842,271.37600000000003,132.144,12717.2,25269.0,185.05,1.9324,99.4,101.37602,132.79974,1.9313980000000002,2015.0,2.0
8.0,1.0,94.333125,1.28148207175,9.647882539,2.8498,1.357,1.2473999999999998,621.8425,6.1288,24.229,6.557024999999999,0.87967498375,62.22025,3.8595,118.8075,1107.5,0.2955,3.590875,33.1783,14.96045,1.3321894,7.5795,0.3845,3.0825,44.2975,3.67155,3.64,62.835125000000005,3.75,1.357,11.6875625,8.385100000000001,0.941825,32.5735,6.3359000000000005,3.6725,0.6489743995,24.61425,2423.0675,0.376,6.2842,271.6225,130.91,13176.5,28209.0,228.59500000000003,1.9324,102.1075,102.421475,135.6001,1.9486325,2015.0,2.0
9.0,1.0,94.64482000000001,1.2774359281999998,9.6063960442,2.8707000000000003,1.35744,1.252,619.618,6.13712,24.284,6.60234,0.8845109543999999,62.04734,3.9294,118.998,1104.28,0.29571000000000003,3.6203600000000002,33.23776,14.978980000000002,1.3287021508,7.61312,0.3845,3.091,44.2062,3.68058,3.6399999999999997,61.96102,3.75,1.35744,11.55816,8.37566,0.9487400000000001,32.5022,6.350759999999999,3.6725000000000003,0.6472572832,24.6388,2483.986,0.376,6.2842,269.23199999999997,132.36200000000002,12858.2,28640.0,185.05,1.9324,99.352,101.84909999999999,132.89982,1.934328,2015.0,2.0
10.0,1.0,95.22924,1.2810417814000001,9.727659597199999,2.92446,1.36586,1.2505000000000002,618.394,6.15278,24.6816,6.711320000000001,0.9001331274,61.984159999999996,3.9850000000000003,119.80999999999999,1099.72,0.29676,3.6373999999999995,33.67508,15.12586,1.3265042614,7.72666,0.3845,3.0956,44.1086,3.7380400000000003,3.6399999999999997,61.66074,3.75,1.36586,11.77783,8.327459999999999,0.9651799999999999,32.3666,6.3417,3.6725000000000003,0.6533496872,24.6954,2536.694,0.376,6.2842,274.578,134.30599999999998,12984.6,27807.4,184.474,1.9324,98.556,101.88556,132.43886,1.954176,2015.0,3.0
