Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,77.63430952,1.102574276,8.849408454,2.3299,1.267452381,1.1108,563.9742857,6.136057143,19.8142381,5.399642857,0.723473527,61.00448095,3.482238095,102.2738095,1070.738095,0.281380952,3.283080952,30.03440952,13.19139048,1.174118119,5.997061905,0.3845,2.805857143,44.78604762,3.038709524,3.64,36.16421905,3.75,1.267452381,10.75541905,6.416095238,0.880942857,32.40009524,6.428238095,3.6725,0.601568574,22.61414286,2021.226667,0.376,6.2842,230.5604762,115.1552381,11663.2381,26435.04762,180.7333333,1.9324,97.82857143,100.0589905,130.8317095,1.745767619,2014,11.61904762
6,1,79.29984762,1.067670703,8.838146932,2.237833333,1.251428571,1.083390476,553.0633333,6.156361905,20.19561905,5.485780952,0.735712285,59.7307,3.455952381,102.052381,1019.795238,0.28197381,3.218419048,30.31239524,12.99868095,1.160938732,6.0447,0.3845,2.793333333,43.8097619,3.043580952,3.64,34.40859048,3.75,1.251428571,10.67663095,6.680114286,0.896142857,32.51438095,6.386371429,3.6725,0.59157923,22.91057143,1889.101905,0.376,6.2842,227.6566667,115.7928571,11892.61905,24403.33333,183.507619,1.9324,95.53333333,98.58176667,130.4544714,1.713704762,2014,24.61904762
9,1,81.28488571,1.105331406,9.088624857,2.327242857,1.263452381,1.101180952,593.617619,6.152961905,21.40619048,5.775952381,0.775852887,60.8835619,3.633857143,107.3257143,1031.938095,0.286642857,3.217980952,31.1741,13.24182381,1.226312735,6.347971429,0.3845,2.863714286,44.09880952,3.247666667,3.64,38.0012619,3.75,1.263452381,10.98371429,7.129428571,0.9365,32.19933333,6.346452381,3.6725,0.613635535,24.30071429,1973.85381,0.376,6.2842,242.7761905,119.1028571,11899.38095,27728.85714,181.9528571,1.9324,97.32714286,101.9866714,130.6078571,1.769696667,2014,37.80952381
12,1,86.30075263,1.204817141,9.392390943,2.611831579,1.311121053,1.147321053,608.9010526,6.123636842,22.22031579,5.988336842,0.804776102,62.53668421,3.914736842,118.4594737,1102.610526,0.291339474,3.467394737,31.46966842,14.40058421,1.285374809,7.192389474,0.3845,2.945315789,44.67310526,3.379021053,3.64,54.84684737,3.75,1.311578947,11.40201053,7.534331579,0.968689474,32.90236842,6.364005263,3.6725,0.636936013,23.92994737,2313.164211,0.376,6.2842,246.6905263,124.1052632,12429.68421,27812.21053,180.1978947,1.9324,99.94473684,101.2232842,131.0012895,1.853918947,2014,47.73684211
