Month,USD,DZD,AUD,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,EUR,INR,ILS,JPY,KRW,KWD,MYR,MUR,MXN,NZD,NOK,OMR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TTD,AED,GBP,UYU,COP,BHD,VEF,HUF,ISK,IDR,IRR,KZT,LYD,NPR,PKR,LKR,TND,Year,Week
3,1,133.7342913,1.296928566,11.05386474,5.645547826,1.342573913,1.257391304,726.366087,6.509413043,22.00204348,6.2498,0.840449437,72.78378696,3.31226087,108.6495652,1130.034783,0.302095652,4.109456522,40.31072174,20.7558087,1.400027378,8.527569565,0.3845,3.704826087,48.57430435,3.86393913,3.64,74.45237391,3.75,1.342382609,14.98535435,8.541243478,0.92966087,30.78943478,6.760621739,3.6725,0.721676039,44.23886957,3614.931739,0,0,0,0,0,0,0,0,0,0,0,0,2021,10.82608696
6,1,133.9196591,1.307365766,10.72716334,5.038695455,1.333040909,1.221713636,727.1672727,6.422877273,21.1315,6.173472727,0.830166631,73.55825909,3.252590909,110.1059091,1121.295455,0.300915909,4.134459091,41.15233182,20.01416818,1.405808355,8.421954545,0.3845,3.902727273,48.12472727,3.736268182,3.64,72.54820909,3.75,1.333040909,13.91251136,8.394027273,0.907986364,31.42559091,6.750690909,3.6725,0.712800221,43.60322727,3686.695,0,0,0,0,0,0,0,0,0,0,0,0,2021,23.90909091
9,1,136.5170263,1.368159258,11.10405962,5.299321053,1.348126316,1.268652632,786.1778947,6.455773684,21.58594737,6.323836842,0.850658176,73.65646842,3.207421053,110.1442105,1171.3,0.300902632,4.168042105,42.7415,20.06787895,1.418559896,8.650315789,0.3845,4.106105263,50.19636842,3.891410526,3.64,72.88323158,3.75,1.348126316,14.57420526,8.6457,0.923218421,33.14426316,6.762878947,3.6725,0.72862706,42.70773684,3827.100526,0,0,0,0,0,0,0,0,0,0,0,0,2021,37.36842105
12,1,138.9364294,1.403296601,11.73237317,5.651288235,1.366135294,1.278047059,845.7547059,6.367164706,22.426,6.580564706,0.885125598,75.57097647,3.134647059,113.6164706,1182.176471,0.302591176,4.220176471,43.43939412,20.99462353,1.475879673,9.007417647,0.3845,4.058588235,50.24552941,4.088858824,3.64,73.92065294,3.75,1.366135294,15.87998235,9.090741176,0.922129412,33.59382353,6.765194118,3.6725,0.753439534,44.26976471,3947.411176,0,0,0,0,0,0,0,0,0,0,0,0,2021,49.58823529
